,area_type,availability,balcony,bath,latitude,location,longitude,price,size,society,total_sqft,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
114,Super built-up  Area,Ready To Move,2.0,2.0,13.0701144,Maragondanahalli,77.6336218,59.0,2 BHK,ArnzaFi,1307,5.0,Pharmacy,Indian Restaurant,Flea Market,Asian Restaurant,Café,Donut Shop,Fast Food Restaurant,Farmers Market,Falafel Restaurant,Electronics Store
115,Super built-up  Area,Ready To Move,2.0,3.0,12.141789300000001,Ramagondanahalli,76.6811633,131.0,3 BHK,DNeremo,1910,5.0,Indian Restaurant,Lake,Pizza Place,Department Store,Fast Food Restaurant,Gym,Bakery,Wine Bar,Flea Market,Farmers Market
116,Super built-up  Area,Ready To Move,2.0,2.0,12.9684441,Gottigere,77.7187843,50.0,2 BHK,i1ncyRe,1200,0.0,Hotel,Fast Food Restaurant,Sports Bar,Dessert Shop,Burger Joint,Bakery,Wine Bar,Eastern European Restaurant,Food,Flea Market
117,Built-up  Area,19-Dec,3.0,4.0,12.8889126,Church Street,77.65557159999999,536.0,4 BHK,CoDast ,2920,6.0,Badminton Court,Wine Bar,Food Truck,Food & Drink Shop,Food,Flea Market,Fast Food Restaurant,Farmers Market,Falafel Restaurant,Electronics Store
118,Super built-up  Area,Ready To Move,1.0,2.0,12.9836336,Hebbal,77.7082815,98.0,2 BHK,Prersis,1349,3.0,Indian Restaurant,Café,Gym,Farmers Market,Coffee Shop,Snack Place,Food Court,Ice Cream Shop,Vegetarian / Vegan Restaurant,Punjabi Restaurant
119,Super built-up  Area,Ready To Move,1.0,2.0,13.064967300000001,Electronics City Phase 1,77.56296570598985,60.0,2 BHK,Shitt S,1175,5.0,Indian Restaurant,Supermarket,Bakery,Lake,Wine Bar,Eastern European Restaurant,Food,Flea Market,Fast Food Restaurant,Farmers Market
121,Super built-up  Area,Ready To Move,2.0,2.0,13.073014,Whitefield,77.79213809999999,59.0,3 BHK,SLiritn,1404,3.0,Indian Restaurant,Café,Restaurant,Department Store,Fast Food Restaurant,Bakery,Pub,Coffee Shop,Sandwich Place,Ice Cream Shop
122,Built-up  Area,Ready To Move,2.0,2.0,13.439241699999998,HSR Layout,77.4890962,60.0,2 BHK,VaiewV ,1203,5.0,Indian Restaurant,Clothing Store,Kerala Restaurant,Breakfast Spot,Lounge,Burger Joint,South Indian Restaurant,Ice Cream Shop,Vegetarian / Vegan Restaurant,Convenience Store
123,Super built-up  Area,18-Apr,1.0,1.0,12.997803,Kammasandra,77.6041749,18.5,1 BHK,Prony S,610,5.0,Café,Indian Restaurant,Bakery,Candy Store,Dumpling Restaurant,Food,Flea Market,Fast Food Restaurant,Farmers Market,Falafel Restaurant
124,Plot  Area,Ready To Move,2.0,3.0,12.994260699999998,Chandapura,77.6666656,65.0,3 Bedroom,Upldsin,1200,3.0,Café,Indian Restaurant,Fast Food Restaurant,Pizza Place,Bookstore,Shopping Mall,BBQ Joint,Restaurant,Juice Bar,Bus Station
125,Super built-up  Area,Ready To Move,2.0,2.0,12.922544,Nobo Nagar,77.66334309999999,45.0,2 BHK,VRaceer,1200,0.0,Bowling Alley,Hotel,Liquor Store,Bar,Asian Restaurant,Eastern European Restaurant,Food & Drink Shop,Food,Flea Market,Fast Food Restaurant
126,Plot  Area,Ready To Move,1.0,6.0,13.252003,Sathya Sai Layout,77.963371,700.0,4 Bedroom,Prowshi,6688,0.0,Convenience Store,Park,Tibetan Restaurant,Dry Cleaner,Food,Flea Market,Fast Food Restaurant,Farmers Market,Falafel Restaurant,Electronics Store
127,Super built-up  Area,Ready To Move,2.0,3.0,11.2484748,Crimson Layout,77.4935891,95.0,3 BHK,ARntyne,1830,9.0,Clothing Store,Wine Bar,Dry Cleaner,Food,Flea Market,Fast Food Restaurant,Farmers Market,Falafel Restaurant,Electronics Store,Eastern European Restaurant
129,Built-up  Area,Ready To Move,0.0,2.0,12.9107463,Somasundara Palya,77.5728163,70.0,3 BHK,Srhts P,2300,0.0,Electronics Store,Hotel,Breakfast Spot,Mobile Phone Shop,Liquor Store,Buffet,Metro Station,Wine Bar,Flea Market,Fast Food Restaurant
130,Super built-up  Area,18-Dec,2.0,3.0,13.100698199999998,Whitefield,77.5963454,107.0,3 BHK,Asarqz ,1639,3.0,Indian Restaurant,Café,Restaurant,Department Store,Fast Food Restaurant,Bakery,Pub,Coffee Shop,Sandwich Place,Ice Cream Shop
131,Super built-up  Area,Ready To Move,2.0,3.0,13.0135451,Kanakpura Road,77.66097909999999,74.9,3 BHK,PuandHi,1665,3.0,Indian Restaurant,Fast Food Restaurant,Bakery,Juice Bar,Seafood Restaurant,Snack Place,South Indian Restaurant,Lounge,Eastern European Restaurant,Furniture / Home Store
132,Super built-up  Area,21-Dec,2.0,4.0,41.4651276,Electronic City,-74.0513036,134.0,4 BHK,KonteiT,2093,3.0,Indian Restaurant,Fast Food Restaurant,Ice Cream Shop,Pizza Place,Coffee Shop,Café,Chinese Restaurant,Snack Place,Bakery,Sandwich Place
133,Super built-up  Area,Ready To Move,3.0,3.0,12.9778951,Kanakpura Road,77.5164792,60.9,3 BHK,JRrnauv,1450,3.0,Indian Restaurant,Fast Food Restaurant,Bakery,Juice Bar,Seafood Restaurant,Snack Place,South Indian Restaurant,Lounge,Eastern European Restaurant,Furniture / Home Store
134,Super built-up  Area,Ready To Move,2.0,2.0,13.1478621,Kumarapalli,77.5693207,65.0,3 BHK,BMmesHo,1486,2.0,Indian Restaurant,Café,Wine Bar,Dry Cleaner,Food,Flea Market,Fast Food Restaurant,Farmers Market,Falafel Restaurant,Electronics Store
136,Super built-up  Area,Ready To Move,2.0,2.0,12.9274413,Raja Rajeshwari Nagar,77.51552240000001,42.54,2 BHK,GrrvaGr,1255,3.0,Pizza Place,Lake,Breakfast Spot,Badminton Court,Indian Restaurant,Restaurant,Food Court,Food,Sandwich Place,Fast Food Restaurant
137,Built-up  Area,Ready To Move,1.0,2.0,12.996845,Electronic City,77.6130165,19.5,2 BHK,Itelaa ,750,3.0,Indian Restaurant,Fast Food Restaurant,Ice Cream Shop,Pizza Place,Coffee Shop,Café,Chinese Restaurant,Snack Place,Bakery,Sandwich Place
138,Super built-up  Area,20-Jan,1.0,2.0,13.04514135,Badavala Nagar,77.51478942729403,90.0,2 BHK,DNncasa,1274,3.0,Karnataka Restaurant,Indian Sweet Shop,Fast Food Restaurant,Resort,Metro Station,Pizza Place,Department Store,Dessert Shop,Flea Market,Farmers Market
139,Super built-up  Area,Ready To Move,2.0,3.0,22.72115965,Kathriguppe,75.83460914323051,80.99,3 BHK,Prone M,1350,5.0,Auto Garage,Indian Restaurant,Discount Store,Dumpling Restaurant,Food & Drink Shop,Food,Flea Market,Fast Food Restaurant,Farmers Market,Falafel Restaurant
141,Super built-up  Area,Ready To Move,2.0,3.0,13.0294483,Whitefield,80.2309064,139.0,3 BHK,BrlisCo,1760,3.0,Indian Restaurant,Café,Restaurant,Department Store,Fast Food Restaurant,Bakery,Pub,Coffee Shop,Sandwich Place,Ice Cream Shop
142,Super built-up  Area,Ready To Move,2.0,2.0,12.9599662,Chandapura,77.7192064,28.0,3 BHK,Arhid O,1095,3.0,Café,Indian Restaurant,Fast Food Restaurant,Pizza Place,Bookstore,Shopping Mall,BBQ Joint,Restaurant,Juice Bar,Bus Station
143,Super built-up  Area,Ready To Move,2.0,2.0,12.955257199999998,HSR Layout,77.69841629999999,46.0,2 BHK,NRosete,1140,5.0,Indian Restaurant,Clothing Store,Kerala Restaurant,Breakfast Spot,Lounge,Burger Joint,South Indian Restaurant,Ice Cream Shop,Vegetarian / Vegan Restaurant,Convenience Store
144,Super built-up  Area,Ready To Move,3.0,3.0,12.8889126,Raja Rajeshwari Nagar,77.65557159999999,64.86,3 BHK,GrrvaGr,1530,3.0,Pizza Place,Lake,Breakfast Spot,Badminton Court,Indian Restaurant,Restaurant,Food Court,Food,Sandwich Place,Fast Food Restaurant
145,Super built-up  Area,18-Feb,3.0,3.0,12.5450268,Kundalahalli,77.4199095,140.0,3 BHK,Dieldli,1724,2.0,Indian Restaurant,Vegetarian / Vegan Restaurant,Wine Bar,Dry Cleaner,Food,Flea Market,Fast Food Restaurant,Farmers Market,Falafel Restaurant,Electronics Store
146,Super built-up  Area,Ready To Move,3.0,3.0,12.978192199999999,Dodda Nekkundi Extension,77.72464509999999,90.0,3 BHK,AlEcone,1975,3.0,Restaurant,Indian Restaurant,Italian Restaurant,Coffee Shop,Breakfast Spot,Shopping Mall,Food Court,Maharashtrian Restaurant,Lounge,Café
147,Super built-up  Area,18-Nov,1.0,2.0,13.1351402,Sarjapur  Road,77.74956999999999,58.0,2 BHK,AsastDe,1112,3.0,Café,ATM,Indian Restaurant,Hotel,Pharmacy,Shopping Mall,Snack Place,South Indian Restaurant,Food Court,Sporting Goods Shop
148,Super built-up  Area,18-Nov,1.0,1.0,12.8856635,Hoskote,77.5416809,23.0,1 BHK,Arity S,509,5.0,Indian Restaurant,Department Store,Pool,Theater,Café,Garden,Wine Bar,Dumpling Restaurant,Flea Market,Fast Food Restaurant
150,Built-up  Area,Ready To Move,1.0,2.0,12.995483199999999,Green View Layout,77.6208684,41.0,2 BHK,Makeser,1010,5.0,Indian Restaurant,Vegetarian / Vegan Restaurant,Flea Market,Café,Wine Bar,Dry Cleaner,Food,Fast Food Restaurant,Farmers Market,Falafel Restaurant
151,Built-up  Area,Ready To Move,2.0,2.0,12.930188099999999,Kaggadasapura,77.53783320000001,45.0,2 BHK,Mancya ,1150,5.0,Park,Indian Restaurant,Juice Bar,Tea Room,Wine Bar,Dry Cleaner,Flea Market,Fast Food Restaurant,Farmers Market,Falafel Restaurant
152,Built-up  Area,Ready To Move,1.0,3.0,12.8773486,Raja Rajeshwari Nagar,77.6028031,98.0,3 BHK,Cedusy ,1850,3.0,Pizza Place,Lake,Breakfast Spot,Badminton Court,Indian Restaurant,Restaurant,Food Court,Food,Sandwich Place,Fast Food Restaurant
153,Built-up  Area,Ready To Move,1.0,2.0,12.9274413,Doddathoguru,77.51552240000001,40.0,2 BHK,Srtasno,907,3.0,Breakfast Spot,Indian Restaurant,Pizza Place,Multiplex,Sandwich Place,Restaurant,Café,Chinese Restaurant,Dessert Shop,Nightclub
154,Super built-up  Area,Ready To Move,1.0,5.0,12.91814255,Iblur Village,77.55767123770735,251.0,4 BHK,Emine P,3596,3.0,Coffee Shop,Snack Place,Department Store,Breakfast Spot,Convenience Store,Indian Restaurant,Accessories Store,Historic Site,Dumpling Restaurant,Hotel
